Subject Primary Identifier	Ontology Annotation Subject . Symbol	Base Annotations Subject . Symbol	Subject Background	Subject Zygosity	Ontology Annotation Ontology Term . Identifier	Ontology Annotation Term Name
MGI:95777	Gnas	Gnas<tm3Kel>/Gnas<+>	involves: 129P2/OlaHsd * C57BL/6J * DS/2	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:95777	Gnas	Gnas<tm4Lsw>/Gnas<+>	involves: 129S6/SvEvTac * Black Swiss * CD-1	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:103232	Grb10	Grb10<Gt(Betageo)1Ward>/Grb10<+>	involves: C57BL/6 * CBA	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:95805	Grb2	Grb2<tm1Paw>/Grb2<tm2Paw>	involves: 129S1/Sv * 129X1/SvJ	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:2655333	Grhl3	Grhl3<tm1Jane>/Grhl3<tm2.1Jane>	involves: 129S1/Sv * BALB/cJ	ht	MP:0011111	lethality during fetal growth through weaning, complete penetrance
MGI:95809	Gria2	Gria2<tm1Rsp>/Gria2<+>	involves: 129S1/Sv * 129X1/SvJ	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:95809	Gria2	Gria2<tm2.1Rsp>/Gria2<+>	involves: 129S1/Sv * 129X1/SvJ	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:95819	Grin1	Grin1<tm1.1Slab>/Grin1<+>	involves: 129P2/OlaHsd * C57BL/6J	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:95819	Grin1	Grin1<tm1Cur>/Grin1<tm1.1Phs>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:95819	Grin1	Grin1<tm1Cur>/Grin1<tm2.1Phs>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:95819	Grin1	Grin1<tm2.1Phs>/Grin1<+>	involves: 129S1/Sv * 129X1/SvJ	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:95819	Grin1	Grin1<tm2Slab>/Grin1<tm1.1Slab>	involves: 129P2/OlaHsd * C57BL/6J	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:1861437	Gsk3b	Gsk3b<tm1Grc>/Gsk3b<tm1Jrw>	involves: 129 * 129S6/SvEvTac * CD-1	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:1101768	H3f3b	H3f3b<tm1.1Psk>/H3f3b<+>	involves: C57BL/6N * FVB/N	ht	MP:0010831	lethality, incomplete penetrance
MGI:103577	Hand1	Hand1<tm1Jcc>/Hand1<tm2.1Jcc>	involves: 129S1/Sv * 129X1/SvJ	ht	MP:0010831	lethality, incomplete penetrance
MGI:103577	Hand1	Hand1<tm1Jcc>/Hand1<tm2.1Jcc>	involves: 129S1/Sv * 129X1/SvJ	ht	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
MGI:103580	Hand2	Hand2<tm1Cse>/Hand2<tm1Dsr>	involves: 129S1/Sv * 129S7/SvEvBrd * C57BL/6	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:103580	Hand2	Hand2<tm1Eno>/Hand2<tm2Eno>	involves: 129S6/SvEvTac * C57BL/6 * SJL	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:1261831	Hap1	Hap1<tm1Id>/Hap1<tm2Id>	involves: 129S1/Sv * C57BL/6	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:96014	Hba	Hba<b2(th)>/Hba<+>	involves: C57BL/6J * SEC	ht	MP:0002082	postnatal lethality
MGI:96014	Hba	Hba<b3(th)>/Hba<+>	SEC-Hba<b3(th)>	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:96014	Hba	Hba<b3(th)>/Hba<+>	involves: C57BL/6J * SEC	ht	MP:0002082	postnatal lethality
MGI:96014	Hba	Hba<th-J>/Hba<+>	involves: C57BL/6J	ht	MP:0002082	postnatal lethality
MGI:96070	Hbegf	Hbegf<tm3Mek>/Hbegf<+>	involves: 129/Sv * C57BL/6 * CBA	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:108086	Hdac1	Hdac1<tm1Sei>/Hdac1<+>	either: (involves: 129P2/OlaHsd * 129/Sv) or (involves: 129P2/OlaHsd * C57BL/6)	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1917565	Hdac8	Hdac8<tm1.2Eno>/Hdac8<+>	involves: 129 * C57BL/6 * CD-1	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:96086	Hhex	Hhex<tm1.1Tmj>/Hhex<+>	involves: 129S1/Sv * FVB/N	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:1929869	Hic2	Hic2<Gt(RRN127)Byg>/Hic2<+>	B6.129P2-Hic2<Gt(RRN127)Byg>	ht	MP:0010770	preweaning lethality
MGI:1929869	Hic2	Hic2<Gt(RRN127)Byg>/Hic2<+>	B6.129P2-Hic2<Gt(RRN127)Byg>	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:106918	Hif1a	Hif1a<tm1.1Mcs>/Hif1a<+>	involves: 129S6/SvEvTac	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1914053	Hmces	Hmces<em1Dfel>/Hmces<+>	involves: 129 * C57BL/6N	ht	MP:0011102	embryonic lethality, incomplete penetrance
MGI:1914053	Hmces	Hmces<em2Dfel>/Hmces<+>	involves: 129 * C57BL/6N	ht	MP:0011102	embryonic lethality, incomplete penetrance
MGI:96173	Hoxa13	Hoxa13<Hd>/Hoxa13<+>	involves: MYA/Hu	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:96175	Hoxa3	Hoxa3<tm1Mrc>/Hoxa3<tm2Nrm>	involves: 129S7/SvEvBrd * C3H * C57BL/6 * C57BL/6NHsd	ht	MP:0002058	neonatal lethality
MGI:96175	Hoxa3	Hoxa3<tm1Nrm>/Hoxa3<tm1Mrc>	involves: 129S7/SvEvBrd * C3H * C57BL/6 * C57BL/6NHsd	ht	MP:0002058	neonatal lethality
MGI:96200	Hoxd	Hoxd<tm12Ddu>/Hoxd<+>	involves: 129S2/SvPas * C57BL/6 * DBA/2	ht	MP:0002080	prenatal lethality
MGI:109369	Hp1bp3	Hp1bp3<tm1a(EUCOMM)Wtsi>/Hp1bp3<+>	involves: C57BL/6N	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:3590238	Hrtfm7	Hrtfm7<AKR/J>/Hrtfm7<DBA/2J>	involves: C57BL/6J * DBA/2J	ht	MP:0002082	postnatal lethality
MGI:96067	Htt	Htt<tm1Mem>/Htt<tm7Mem>	involves: 129S/SvEv * 129S1/Sv * 129X1/SvJ * CD-1	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:96067	Htt	Htt<tm1Mem>/Htt<tm7Mem>	involves: 129S/SvEv * 129S1/Sv * 129X1/SvJ * CD-1	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:1934923	Ifitm5	Ifitm5<em1Pmof>/Ifitm5<+>	involves: CD-1	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:98715	Ift88	Ift88<fxo>/Ift88<tm1Rpw>	involves: 129/Sv * C3HeB/FeJ * C57BL/6J	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:3051678	Igdmr	Igdmr<tm1Ace>/Igdmr<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:3051678	Igdmr	Igdmr<tm1Ace>/Igdmr<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:96434	Igf2	Igf2<tm1Rob>/Igf2<+>	involves: 129S/SvEv * C57BL/6J	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:96434	Igf2	Igf2<tm1Rob>/Igf2<+>	involves: 129S/SvEv * C57BL/6J	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:96435	Igf2r	Igf2r<tm1.1(IGF2R)Arte>/Igf2r<+>	involves: C57BL/6J * C57BL/6NTac	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:96435	Igf2r	Igf2r<tm1.1Rlj>/Igf2r<+>	involves: 129/Sv * BALB/cJ * C57BL/6J	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:96435	Igf2r	Igf2r<tm1Arge>/Igf2r<+>	involves: 129/Sv	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:96435	Igf2r	Igf2r<tm1Arge>/Igf2r<+>	involves: 129/Sv	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:96435	Igf2r	Igf2r<tm1Arge>/Igf2r<+>	involves: 129/Sv * C57BL/6J * MF1	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:96435	Igf2r	Igf2r<tm1Arge>/Igf2r<+>	involves: 129/Sv * C57BL/6J * MF1	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:96435	Igf2r	Igf2r<tm1Arge>/Igf2r<+>	involves: 129/Sv * MF1	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:96435	Igf2r	Igf2r<tm1Stw>/Igf2r<+>	involves: 129S1/Sv * C57BL/6	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:96435	Igf2r	Igf2r<tm1Wag>/Igf2r<+>	involves: 129S2/SvPas	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:96435	Igf2r	Igf2r<tm1Wag>/Igf2r<+>	involves: 129S2/SvPas	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:96435	Igf2r	Igf2r<tm2Arge>/Igf2r<+>	involves: 129/Sv	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:96435	Igf2r	Igf2r<tm2Arge>/Igf2r<+>	involves: 129/Sv	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:96435	Igf2r	Igf2r<tm2Arge>/Igf2r<+>	involves: 129/Sv * C57BL/6J * MF1	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:96435	Igf2r	Igf2r<tm2Arge>/Igf2r<+>	involves: 129/Sv * C57BL/6J * MF1	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:96435	Igf2r	Igf2r<tm2Arge>/Igf2r<+>	involves: 129/Sv * MF1	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1338074	Ikbkg	Ikbkg<tm1Mka>/Ikbkg<+>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6J	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1338074	Ikbkg	Ikbkg<tm1Mpa>/Ikbkg<+>	involves: C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1342540	Ikzf1	Ikzf1<tm1.1Smale>/Ikzf1<tm2Kge>	involves: 129S4/SvJae * C57BL/6	ht	MP:0011400	lethality, complete penetrance
MGI:1342540	Ikzf1	Ikzf1<tm2Kge>/Ikzf1<tm2.1Smale>	involves: 129S4/SvJae * C57BL/6	ht	MP:0011400	lethality, complete penetrance
MGI:96573	Ins2	Ins2<tm1Delt>/Ins2<+>	involves: 129S2/SvPas * Black Swiss	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:1859211	Irf6	Irf6<tm1Mjd>/Irf6<+>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:109156	Isl2	Isl2<tm3.1(Mnx1-Lhx3)Slp>/Isl2<+>	Not Specified	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:96610	Itgb1	Itgb1<tm14.1Ref>/Itgb1<tm15.1Ref>	Not Specified	ht	MP:0011092	embryonic lethality, complete penetrance
MGI:1095416	Jag1	Jag1<Mhdahtu>/Jag1<Slalom>	involves: BALB/c * C3H * C3HeB/FeJ	ht	MP:0006207	embryonic lethality during organogenesis
MGI:96629	Jak2	Jak2<m1Dlbr>/Jak2<tm1Jni>	involves: 129P2/OlaHsd * 129S1/SvImJ * C57BL/6J	ht	MP:0011099	lethality throughout fetal growth and development, complete penetrance
MGI:96646	Jun	Jun<tm1Wag>/Jun<tm5.1(Junb)Wag>	involves: 129P2/OlaHsd * 129S2/SvPas * C57BL/6	ht	MP:0011099	lethality throughout fetal growth and development, complete penetrance
MGI:1343101	Kat2a	Kat2a<tm1Roth>/Kat2a<tm3Roth>	involves: 129 * 129S7/SvEvBrd * C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1196256	Kdm1a	Kdm1a<Gt(RRK075)Byg>/Kdm1a<tm1.2Rsd>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:96677	Kit	Kit<W-19H>/Kit<+>	involves: 101/H * C3H/HeH	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:96677	Kit	Kit<W-34J>/Kit<W-39J>	involves: C57BL/6J	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:96677	Kit	Kit<W-37J>/Kit<W-39J>	involves: C57BL/6J	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:96677	Kit	Kit<W-38J>/Kit<W-39J>	involves: C57BL/6J	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:96677	Kit	Kit<W-39J>/Kit<W-40J>	involves: C57BL/6J	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:96677	Kit	Kit<W-39J>/Kit<W-41J>	involves: C57BL/6J	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:96677	Kit	Kit<W-39J>/Kit<W-42J>	involves: C57BL/6J	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:96677	Kit	Kit<W-39J>/Kit<W-43J>	involves: C57BL/6J	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:96677	Kit	Kit<W-s>/Kit<W>	involves: BRS	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:96677	Kit	Kit<W>/Kit<W-v>	involves: C57BL/6J	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:96677	Kit	Kit<tm1.1(cre)Jmol>/Kit<tm2.1(cre/Esr1*)Jmol>	involves: 129/Sv * 129S4/SvJaeSor * C57BL/6J	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:96677	Kit	Kit<tm2Ber>/Kit<+>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:96677	Kit	Kit<tm5.1Bsm>/Kit<+>	involves: 129S1/Sv * C57BL/6J * FVB/N	ht	MP:0010831	lethality, incomplete penetrance
MGI:96974	Kitl	Kitl<Sl-18H>/Kitl<+>	involves: 101/H * C3H/HeH	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1342771	Klf1	Klf1<Nan>/Klf1<+>	either: B6.Cg-Klf1<Nan> or WB.Cg-Klf1<Nan>	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1342773	Klf3	Klf3<m1Cmhd>/Klf3<+>	involves: C3H/HeJ * C57BL/6J	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:1342773	Klf3	Klf3<m1Cmhd>/Klf3<+>	involves: C3H/HeJ * C57BL/6J	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:96995	Kmt2a	Kmt2a<tm1Saam>/Kmt2a<+>	involves: 129S1/Sv * C57BL/6	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:96995	Kmt2a	Kmt2a<tm1Sjk>/Kmt2a<tm1.2Erns>	involves: 129S2/SvPas * C57BL/6 * FVB/N	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:109565	Kmt2b	Kmt2b<Gena263>/Kmt2b<tm1Afst>	involves: 129P2/OlaHsd * BALB/c * C3H/HeH	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:109565	Kmt2b	Kmt2b<Gena263>/Kmt2b<tm1Afst>	involves: 129P2/OlaHsd * BALB/c * C3H/HeH	ht	MP:0011107	embryonic lethality between somite formation and embryo turning, incomplete penetrance
MGI:2141165	Kpna7	Kpna7<tm1.1Sgao>/Kpna7<+>	involves: 129S1/Sv * 129X1/SvJ	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:96680	Kras	Kras<tm4.1Tyj>/Kras<+>	Not Specified	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:99258	Krd	Krd/Krd<+>	involves: C3H/He * C57BL/6 * YBR/Ki	ht	MP:0002082	postnatal lethality
MGI:96688	Krt14	Krt14<tm2Der>/Krt14<+>	involves: 129X1/SvJ	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:1354386	Lats2	Lats2<tm1Noj>/Lats2<+>	involves: 129S2/SvPas * C57BL/6	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:1932557	Letm1	Letm1<Gt(CC0204)Wtsi>/Letm1<+>	129S.129P2-Letm1<Gt(CC0204)Wtsi>	ht	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
MGI:1932557	Letm1	Letm1<Gt(DD0926)Wtsi>/Letm1<+>	129S.129P2-Letm1<Gt(DD0926)Wtsi>	ht	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
MGI:1891468	Lgr4	Lgr4<Gt(pGT0TMpfs)1Wcs>/Lgr4<+>	involves: 129P2/Ola * C57BL/6	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:1891468	Lgr4	Lgr4<tm1.2Knis>/Lgr4<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:96786	Li	Li/Li<+>	Not Specified	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:109360	Lmo4	Lmo4<tm1Thr>/Lmo4<tm2Thr>	involves: 129S/SvEv * C57BL/6	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:109360	Lmo4	Lmo4<tm1Thr>/Lmo4<tm2Thr>	involves: 129S/SvEv * C57BL/6	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:1100513	Lmx1b	Lmx1b<Icst>/Lmx1b<+>	involves: BALB/cAnN * C3H/HeN	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:1918115	Lnpk	Lnpk<Ul>/Lnpk<+>	involves: C3H/HeJ * C57BL/6J * FVB/N	ht	MP:0002082	postnatal lethality
MGI:1298218	Lrp6	Lrp6<Cd>/Lrp6<Gt(Ex187)Byg>	involves: 129P2/OlaHsd * A	ht	MP:0002080	prenatal lethality
MGI:96831	Lse	Lse/Lse<+>	B6C3Fe a/a-Lse/J	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:96831	Lse	Lse/Lse<+>	B6C3Fe a/a-Lse/J	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1351648	Magel2	Magel2<tm1.1Mus>/Magel2<+>	B6.129S2-Magel2<tm1.1Mus>	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:1351648	Magel2	Magel2<tm1.1Mus>/Magel2<+>	involves: 129S2/SvPas * C57BL/6J	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:1351648	Magel2	Magel2<tm1Stw>/Magel2<+>	C57BL/6-Magel2<tm1Stw>	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1330312	Magoh	Magoh<Gt(AG0150)Wtsi>/Magoh<+>	involves: 129P2/OlaHsd	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1330312	Magoh	Magoh<Gt(AT0027)Wtsi>/Magoh<+>	involves: 129P2/OlaHsd	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1330312	Magoh	Magoh<Mos2>/Magoh<+>	involves: BALB/cJ * C57BL/6J	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1346878	Map3k8	Map3k8<M1Btlr>/Map3k8<+>	C57BL/6J-Map3k8<M1Btlr>	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1346858	Mapk1	Mapk1<tm1.1Kuta>/Mapk1<+>	involves: 129P2/OlaHsd * C57BL/6 * C57BL/6J * FVB/N	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:1346858	Mapk1	Mapk1<tm1Kuta>/Mapk1<tm1.1Kuta>	involves: 129P2/OlaHsd * C57BL/6 * C57BL/6J * FVB/N	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:1346858	Mapk1	Mapk1<tm1Melo>/Mapk1<+>	involves: 129S2/SvPas * C57BL/6	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:1338823	Maz	Maz<em#Mhll>/Maz<+>	C57BL/6J-Maz<em#Mhll>	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:96922	Mb	Mb<tm1Wlm>/Mb<+>	either: (involves: 129/Sv) or (involves: C57BL/6)	ht	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
MGI:1927235	Mbtps1	Mbtps1<Gt(PST115)Byg>/Mbtps1<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1927235	Mbtps1	Mbtps1<Gt(PST115)Byg>/Mbtps1<wrt>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:103199	Mcm4	Mcm4<chaos3>/Mcm4<Gt(RRE056)Byg>	B6.Cg-Mcm4<chaos3> Mcm4<Gt(RRE056)Byg>	ht	MP:0011099	lethality throughout fetal growth and development, complete penetrance
MGI:103199	Mcm4	Mcm4<chaos3>/Mcm4<Gt(RRE056)Byg>	involves: 129P2/OlaHsd * C3HeB/FeJ * C57BL/6J	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:103199	Mcm4	Mcm4<chaos3>/Mcm4<Gt(RRE056)Byg>	involves: 129P2/OlaHsd * C3HeB/FeJ * C57BL/6J	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:103199	Mcm4	Mcm4<chaos3>/Mcm4<Sdla>	involves: C57BL/6 * C57BL/6J	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:1890500	Mcoln3	Mcoln3<Va>/Mcoln3<Va-J>	Not Specified	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:96952	Mdm2	Mdm2<tm1Bay>/Mdm2<tm1.1Mep>	involves: 129S7/SvEvBrd * C57BL/6 * FVB	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:96952	Mdm2	Mdm2<tm1Bay>/Mdm2<tm1Mep>	involves: 129S7/SvEvBrd * C57BL/6	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:95457	Mecom	Mecom<Jbo>/Mecom<tm1Mmor>	involves: 129S2/SvPas * BALB/c * C3H/HeN * CF-1	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:95457	Mecom	Mecom<tm1Aspe>/Mecom<tm1Mmor>	involves: 129S2/SvPas * 129S6/SvEvTac * C57BL/6	ht	MP:0011400	lethality, complete penetrance
MGI:99918	Mecp2	Mecp2<tm1.1Mitoh>/Mecp2<+>	Not Specified	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:1917040	Med30	Med30<Gt(CH0776)Wtsi>/Med30<m1Btlr>	involves: 129P2/OlaHsd * C57BL/6J	ht	MP:0011100	preweaning lethality, complete penetrance
MGI:1202886	Meg3	Meg3<Gt(pGTi)216Gos>/Meg3<+>	involves: 129S2/SvPas * BALB/c * C57BL/6	ht	MP:0002082	postnatal lethality
MGI:1202886	Meg3	Meg3<Gt(pGTi)216Gos>/Meg3<+>	involves: 129S2/SvPas * BALB/c * C57BL/6	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:1202886	Meg3	Meg3<Gt(pGTi)216Gos>/Meg3<+>	involves: 129S2/SvPas * C57BL/6	ht	MP:0002082	postnatal lethality
MGI:1202886	Meg3	Meg3<tm1Itl>/Meg3<+>	B6.129S6-Meg3<tm1Itl>	ht	MP:0011089	perinatal lethality, complete penetrance
MGI:1202886	Meg3	Meg3<tm1Jvs>/Meg3<+>	involves: 129P2/OlaHsd	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1202886	Meg3	Meg3<tm1Kono>/Meg3<+>	involves: 129P2/OlaHsd * C57BL/6N * DBA/2	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1202886	Meg3	Meg3<tm1Kono>/Meg3<+>	involves: 129P2/OlaHsd * C57BL/6N * DBA/2	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:96968	Mest	Mest<tm1Masu>/Mest<+>	involves: 129S1/Sv * 129X1/SvJ	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:96968	Mest	Mest<tm1Masu>/Mest<+>	involves: 129S1/Sv * 129X1/SvJ	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:96969	Met	Met<tm1Cpo>/Met<tm2Cpo>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6J	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:96969	Met	Met<tm4Cpo>/Met<tm2Cpo>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6J	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:1927811	Minute	Minute/Minute<+>	involves: 101/H * C3H/HeH	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1927811	Minute	Minute/Minute<+>	involves: 101/H * C3H/HeH * C57BL/6J * CBA/Ca * M. spretus	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:1927811	Minute	Minute/Minute<+>	involves: 101/H * C3H/HeH * M. m. castaneus	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:2676812	Mir127	Mir127<tm1.1Acfs>/Mir127<+>	B6J.129-Mir127<tm1.1Acfs>	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:5614031	Mirc36	Mirc36<tm1.1Jcav>/Mirc36<+>	B6.129-Mirc36<tm1.1Jcav>	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:5614031	Mirc36	Mirc36<tm1.1Jcav>/Mirc36<+>	B6.129-Mirc36<tm1.1Jcav>	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:1261813	Mn1	Mn1<tm1Ecz>/Mn1<+>	FVB.129-Mn1<tm1Ecz>	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:5429753	Mut1454	Mut1454/Mut1454<+>	involves: 101/H * C3H/HeH	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:5470121	Mut1602	Mut1602/Mut1602<+>	involves: 101/H * C3H/HeH	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:5471520	Mut1679	Mut1679/Mut1679<+>	involves: 101/H * C3H/HeH	ht	MP:0011102	embryonic lethality, incomplete penetrance
MGI:5471520	Mut1679	Mut1679/Mut1679<+>	involves: 101/H * C3H/HeH	ht	MP:0011104	embryonic lethality before implantation, incomplete penetrance
MGI:5450855	Muth1	Muth1/Muth1<+>	involves: 101/H * C3H/HeH	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:5436126	Mvd007	Mvd007/Mvd007<+>	C3HeB/FeJ-Mvd007	ht	MP:0010831	lethality, incomplete penetrance
MGI:97249	Myb	Myb<tm1Jof>/Myb<tm1Ssp>	involves: 129/Sv * C57BL/6	ht	MP:0011099	lethality throughout fetal growth and development, complete penetrance
MGI:97357	Mycn	Mycn<tm1Jrt>/Mycn<tm1Par>	involves: 129S2/SvPas * C57BL/6J	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:97357	Mycn	Mycn<tm1Nagy>/Mycn<tm2.1Nagy>	involves: 129S1/Sv * 129X1/SvJ	ht	MP:0011087	neonatal lethality, complete penetrance
